,,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19
T3 Bankstown Line,Senior/Pensioner,227938,255536,251984,259218,262304,247124,235756,228102,262193,240326,269383,252763,228782,242881,235344,240935,249416,240528,227495,218228,255607,248290,269395,244763,257691,258190,255322,263738,254792,268816,239250,248638,278297,267687
T3 Bankstown Line,Sgl Trip Rail Adult,4303,14894,15599,15796,15247,19491,16062,14125,15557,15432,14156,15053,13451,13744,13804,14519,16384,21824,18293,16216,19787,17748,17096,17760,14770,15391,15096,16291,15866,20493,14541,12612,14666,14257
T3 Bankstown Line,Sgl Trip Rail Child/Youth,1630,3929,4930,4582,3591,5661,5580,3184,3783,5068,3630,4346,5089,3909,4414,4166,3848,6420,6203,3570,4395,5579,4094,5104,5480,3966,3795,4468,3343,5901,5039,3040,3720,5247
T4 Eastern Suburbs and Illawarra Line,Adult,3970697,4389115,4212808,4042741,4461496,4147929,3863971,4090553,4763437,3960382,4674114,4271946,4305581,4629174,4412414,4599565,4687949,4277144,4174954,4352183,4639415,4334778,4943506,4422907,4592540,4853759,4420673,4809361,4936009,4108485,4274023,4410384,4703507,4152851
T4 Eastern Suburbs and Illawarra Line,Child/Youth,175608,155625,179420,174816,170691,238791,239712,157792,167964,206283,145946,158885,220360,157585,198079,187015,157387,241888,255286,169622,164999,214711,148274,159993,225519,154868,160156,201703,170358,211803,261385,166644,163205,195776
T4 Eastern Suburbs and Illawarra Line,Concession,292557,343152,284622,266306,244085,211227,184810,216161,369528,278639,348834,260856,237799,378385,302606,301410,255725,214617,193250,228485,348865,291531,349041,258573,242357,355392,284382,287661,248001,191743,190863,237772,346346,283346
T4 Eastern Suburbs and Illawarra Line,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5736,81424,121725,136517,153631,144958
T4 Eastern Suburbs and Illawarra Line,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,6,9,3
T4 Eastern Suburbs and Illawarra Line,Day Pass without SAF,,,,,,,,,,,,,,3,9,12,,,,,3,9,25,32,26,49,28,32,72,37,65,54,48,65
T4 Eastern Suburbs and Illawarra Line,Employee,42820,49142,49010,47159,52140,48858,43330,46874,53985,43683,53829,49268,49124,51665,46851,47509,49219,44061,41188,44172,47796,45825,53347,47601,49548,51343,47472,52703,55176,46505,47516,51297,55439,49969
