,,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19
Southern Highlands Line,Adult,44136,47485,49022,48255,49359,45781,44971,46047,54075,45435,52299,50460,52952,53496,57659,56321,57890,46420,46733,47341,52905,51551,54674,50920,52973,53550,54491,56222,53674,49886,50462,50000,56602,53337
Southern Highlands Line,Child/Youth,5820,4918,6421,6759,5746,7944,9083,5357,6695,7888,4895,6627,9261,5395,7937,7301,6741,8345,8796,5042,5723,8499,5542,6464,8861,5323,5690,7870,5048,7654,8745,4689,6025,7998
Southern Highlands Line,Concession,8861,7958,6132,6234,4661,3365,2999,4307,8554,5780,7745,5554,5566,8160,6493,6471,5505,3477,2896,3841,7185,6436,7545,5347,4613,7599,6624,6667,5018,3735,3377,4132,7928,6638
Southern Highlands Line,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,944,1316,1428,1888,2130
Southern Highlands Line,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,2,1,4,,1,1,1,1,2,5,5,7,5,9
Southern Highlands Line,Employee,883,905,949,852,923,869,849,877,1010,843,1019,919,1086,1107,1071,1009,1122,746,759,671,815,848,864,781,714,795,747,806,787,733,770,731,865,838
Southern Highlands Line,Free Travel,180,182,240,217,220,161,201,199,229,199,256,210,233,235,219,223,177,108,184,178,166,175,222,198,177,188,187,192,151,145,123,161,179,152
Southern Highlands Line,School Student,776,1960,1499,1331,1731,643,110,1778,2126,781,2288,1957,1084,2695,1975,2017,2370,788,134,2146,2386,1057,2766,2365,1110,2623,2565,1568,2370,1174,174,2510,2723,1517
Southern Highlands Line,Senior/Pensioner,16183,17403,20921,18993,19116,17819,16653,17165,20653,18045,20006,18480,18772,18758,22434,20961,21466,17264,16084,17305,19747,18972,20592,18274,18298,18750,20661,21493,19903,18513,17372,18589,20300,19601
Southern Highlands Line,Sgl Trip Rail Adult,89,606,581,612,581,633,634,482,604,568,512,578,788,618,779,779,832,712,681,519,540,529,487,501,452,406,467,539,489,547,413,316,476,417
Southern Highlands Line,Sgl Trip Rail Child/Youth,41,121,236,179,116,268,275,93,117,207,83,147,403,180,274,277,241,327,328,167,150,270,186,166,270,139,151,207,143,245,230,94,93,194
Station Link,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,5666,491684,484928,364129,379817,430799,515263,440554
Station Link,Child/Youth,,,,,,,,,,,,,,,,,,,,,,,,,,,812,25995,18606,23093,28994,22973,25298,25816
Station Link,Concession,,,,,,,,,,,,,,,,,,,,,,,,,,,639,88969,65644,32295,31646,45963,108920,70629
Station Link,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,
Station Link,Employee,,,,,,,,,,,,,,,,,,,,,,,,,,,23,1476,1413,1017,1089,1240,1442,1193
Station Link,Free Travel,,,,,,,,,,,,,,,,,,,,,,,,,,,11,361,337,262,284,287,284,270
Station Link,School Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,12325,20575,10023,1438,19418,20614,10759
Station Link,Senior/Pensioner,,,,,,,,,,,,,,,,,,,,,,,,,,,484,31383,31941,27296,26890,29614,32787,29381
Station Link,Sgl Trip Rail Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,6,338,349,332,247,197,197,209
Station Link,Sgl Trip Rail Child/Youth,,,,,,,,,,,,,,,,,,,,,,,,,,,1,103,83,132,96,71,67,93
T1 North Shore Line,Adult,,,,,,,,,,,,,,,,,477818,2278694,2226851,2316457,2667277,2400762,2760329,2565643,2637018,2682911,2563569,3934360,3997909,3392689,3281678,3704351,4090344,3658243
T1 North Shore Line,Child/Youth,,,,,,,,,,,,,,,,,20961,169048,168122,111467,142134,162037,109504,133063,176360,109875,133347,186080,152294,214877,224353,166882,183169,224187
T1 North Shore Line,Concession,,,,,,,,,,,,,,,,,31049,144417,130892,152871,282631,217925,263241,197525,180740,271024,223432,303580,238370,193883,179009,244464,398397,322776
T1 North Shore Line,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4959,58319,83264,97746,110952,109437
T1 North Shore Line,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,6,,,,3,
T1 North Shore Line,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,1,3,1,4,7,4,4,19,5,13,22,18,11,30
T1 North Shore Line,Employee,,,,,,,,,,,,,,,,,4238,19978,18381,20010,23358,18612,22023,23116,24834,22208,23557,34378,33611,29900,27947,31486,34350,32835
T1 North Shore Line,Free Travel,,,,,,,,,,,,,,,,,673,3111,2741,3108,3415,2773,3252,3539,4026,3354,3636,5638,5499,4909,4598,5386,5709,5227
T1 North Shore Line,School Student,,,,,,,,,,,,,,,,,26106,47697,13928,158481,165315,69487,183134,157760,69762,180210,159449,135313,229118,83177,20487,243235,264558,136817
T1 North Shore Line,Senior/Pensioner,,,,,,,,,,,,,,,,,47420,249760,219038,228995,271570,245502,269378,261874,268569,263536,258882,361956,371166,358209,312490,356576,392685,372305
T1 North Shore Line,Sgl Trip Rail Adult,,,,,,,,,,,,,,,,,4351,30099,22736,21979,25943,22303,22557,23909,22249,19828,21485,31213,32060,34197,24778,23853,27638,26414
T1 North Shore Line,Sgl Trip Rail Child/Youth,,,,,,,,,,,,,,,,,820,9011,8209,4236,5575,7123,4475,6233,8191,4255,5298,7452,5447,9565,8672,4828,5885,9345
T1 Northern Line,Adult,,,,,,,,,,,,,,,,,609958,3051989,2954902,3059946,3474979,3319886,3744206,3335709,3442504,3606618,3369189,1848498,1865519,1600308,1542273,1666367,1881659,1551349
T1 Northern Line,Child/Youth,,,,,,,,,,,,,,,,,21996,190187,195119,139592,160708,191853,128952,142157,194350,126299,142217,86904,77085,91523,97415,84660,81181,84767
T1 Northern Line,Concession,,,,,,,,,,,,,,,,,39951,189860,169894,207736,385765,306628,376527,263344,233320,382292,299442,183932,146224,105175,98795,139868,233770,171160
T1 Northern Line,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1641,24290,33780,35839,39279,36176
T1 Northern Line,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,
T1 Northern Line,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,,1,5,5,8,7,4,5,11,7,3,2,9,19
T1 Northern Line,Employee,,,,,,,,,,,,,,,,,4866,23683,22302,24391,26415,24921,31399,28106,28604,29335,27252,19865,20268,15976,16552,19176,20337,16949
T1 Northern Line,Free Travel,,,,,,,,,,,,,,,,,521,2527,2184,2546,2711,2662,3096,2847,2903,2931,2883,1543,1575,1269,1263,1515,1612,1234
T1 Northern Line,School Student,,,,,,,,,,,,,,,,,26518,54679,12491,157373,163764,73363,188246,159725,74555,182446,158638,56224,93549,42286,7225,99608,105688,49565
T1 Northern Line,Senior/Pensioner,,,,,,,,,,,,,,,,,53008,290449,264118,273945,305006,293092,320108,294726,306166,312264,298932,180680,186598,175624,160756,180278,187466,159734
T1 Northern Line,Sgl Trip Rail Adult,,,,,,,,,,,,,,,,,4876,35443,26985,26901,30319,28779,27579,26446,24129,24038,24072,9175,9201,9031,6907,6537,7105,6581
T1 Northern Line,Sgl Trip Rail Child/Youth,,,,,,,,,,,,,,,,,822,9142,8346,4698,5646,8401,5604,6299,7767,4973,5357,2387,1914,2664,2427,1554,1594,2246
T1 Western Line,Adult,,,,,,,,,,,,,,,,,544969,2732771,2796911,2918543,3418443,2910641,3524368,3228729,3247765,3537823,3302273,3454454,3523629,2994733,3108795,3001659,3510464,3320883
T1 Western Line,Child/Youth,,,,,,,,,,,,,,,,,19068,161865,178304,122447,147374,149366,117875,132253,158283,117875,122927,147551,130574,160745,185622,112802,132956,168476
T1 Western Line,Concession,,,,,,,,,,,,,,,,,39107,183195,176944,211980,407378,310819,394630,273053,243602,403239,314803,321049,254058,186247,185704,228129,405292,343726
T1 Western Line,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3201,46796,59280,57027,69740,72949
T1 Western Line,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,,,,,,,,,4,,6,4,5,2,2,6,11,6,16,4
T1 Western Line,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,,20,69,60,104,81,84,88,120,102,151,175,283,240
T1 Western Line,Employee,,,,,,,,,,,,,,,,,8045,37668,36901,40131,45577,39126,49870,46032,44584,48277,46623,49821,51168,45853,46479,46180,54207,52999
T1 Western Line,Free Travel,,,,,,,,,,,,,,,,,690,3250,3184,3560,3784,3295,4176,3731,3926,4359,4094,4697,4684,4102,4135,4460,4821,4500
T1 Western Line,School Student,,,,,,,,,,,,,,,,,26016,56694,10564,153130,175742,69937,193635,162308,83566,179536,159997,97075,159415,77579,11654,162707,187756,102852
T1 Western Line,Senior/Pensioner,,,,,,,,,,,,,,,,,59965,324275,321171,326875,374262,321355,376365,349376,346052,374813,357960,370064,378235,353910,342645,330541,382493,378347
T1 Western Line,Sgl Trip Rail Adult,,,,,,,,,,,,,,,,,3962,27328,23048,22001,28041,22032,23222,22380,18924,20759,21059,22517,24082,23403,19667,16139,19613,20139
T1 Western Line,Sgl Trip Rail Child/Youth,,,,,,,,,,,,,,,,,1010,9415,9001,5600,7447,8650,6344,6718,7181,5847,5939,7448,6295,8005,8036,4028,5513,8519
T2 Inner West Line,Adult,,,,,,,,,,,,,,,,,289965,1386437,1426749,1496797,1657311,1522022,1792329,1593430,1647308,1744309,1627875,1717333,1786040,1472287,1468544,1660674,1642593,1495259
T2 Inner West Line,Child/Youth,,,,,,,,,,,,,,,,,8686,66135,75860,55368,57857,68279,53703,56659,71913,54233,54569,62745,58318,67467,75183,58812,56035,63904
T2 Inner West Line,Concession,,,,,,,,,,,,,,,,,18367,80009,77892,97303,152009,120153,150024,111283,102991,153341,122705,121634,110514,80939,77234,108167,148080,117951
T2 Inner West Line,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2086,27664,36308,41722,45965,48197
T2 Inner West Line,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,4,
T2 Inner West Line,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,1,7,4,3,5,2,3,3,6,10,7,27,28,18
T2 Inner West Line,Employee,,,,,,,,,,,,,,,,,3396,14175,14060,16248,17565,15727,20880,18162,18896,18892,17164,19103,21205,16177,16825,20026,20236,17695
T2 Inner West Line,Free Travel,,,,,,,,,,,,,,,,,218,984,946,1076,1181,1058,1299,1147,1200,1304,1173,1367,1576,1260,1199,1437,1383,1241
T2 Inner West Line,School Student,,,,,,,,,,,,,,,,,8719,15612,3314,49623,51902,23044,60450,49635,25831,59041,50818,32311,55080,23184,4316,60224,60027,32194
T2 Inner West Line,Senior/Pensioner,,,,,,,,,,,,,,,,,26314,128895,131238,140184,150911,137282,159549,142435,151584,156952,145489,152288,161750,141719,138986,160197,152185,141881
T2 Inner West Line,Sgl Trip Rail Adult,,,,,,,,,,,,,,,,,2550,18244,15886,14652,16894,14137,14874,15051,12892,12842,13046,13698,15532,14418,11470,11175,11219,10021
T2 Inner West Line,Sgl Trip Rail Child/Youth,,,,,,,,,,,,,,,,,398,4133,4100,2297,2846,3538,2760,3317,3552,2559,2368,2727,2378,3188,3186,1911,1843,2814
T2 Leppington Line,Adult,,,,,,,,,,,,,,,,,364275,1939511,1814059,1833792,2155842,1958926,2266324,2082714,2137077,2244451,2116548,2209420,2198220,1808124,1896752,1964415,2176979,1941413
T2 Leppington Line,Child/Youth,,,,,,,,,,,,,,,,,13753,118285,118379,83061,98628,111517,82248,95339,118221,86209,91524,102067,88060,100717,119785,89392,93446,104785
T2 Leppington Line,Concession,,,,,,,,,,,,,,,,,30087,145978,126893,151445,280322,222248,277470,198434,179131,277961,220438,214994,173076,119165,119550,163625,261308,209543
T2 Leppington Line,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2273,30995,41403,44626,52005,50787
T2 Leppington Line,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,1,,4,
T2 Leppington Line,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,1,7,8,21,18,13,27,32,24,12,30,38,59,24
T2 Leppington Line,Employee,,,,,,,,,,,,,,,,,4711,22997,19827,22044,25793,22757,29692,27374,25971,26338,26088,29231,28658,21736,23305,26756,29098,25249
T2 Leppington Line,Free Travel,,,,,,,,,,,,,,,,,493,2526,1879,2007,2710,2408,2736,2565,2471,2445,2560,2687,2592,2004,2136,2352,2447,2105
T2 Leppington Line,School Student,,,,,,,,,,,,,,,,,14275,31486,5014,76971,87104,36652,98496,83783,43355,94772,84737,53729,88195,39784,6080,87277,99332,50730
T2 Leppington Line,Senior/Pensioner,,,,,,,,,,,,,,,,,48301,276388,255467,252784,294479,264020,297463,277225,283349,288467,282607,288760,290227,256360,262213,275853,292635,269979
T2 Leppington Line,Sgl Trip Rail Adult,,,,,,,,,,,,,,,,,3097,25269,18634,17387,21543,18406,18551,19664,16000,16133,16404,17321,17333,16804,14656,13286,14307,13460
T2 Leppington Line,Sgl Trip Rail Child/Youth,,,,,,,,,,,,,,,,,709,7055,6073,3797,4950,5967,4443,5410,5478,3968,4137,4377,3530,4532,4694,2914,3294,4585
T8 Airport and South Line,Adult,,,,,,,,,,,,,,,,,539451,2747287,2653379,2666649,3147409,2712914,3198667,2965021,2981146,3155420,2918954,3138780,3205506,2758636,2782379,2828725,3155673,2822296
T8 Airport and South Line,Child/Youth,,,,,,,,,,,,,,,,,16691,146961,157433,89209,107784,130665,89961,116230,147963,101657,93030,119637,99584,136995,161670,95016,103631,135050
T8 Airport and South Line,Concession,,,,,,,,,,,,,,,,,30702,147310,135640,155785,278298,215044,264248,194744,181514,269499,211209,215759,180203,140314,137166,170711,267677,220173
T8 Airport and South Line,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4606,59186,86528,94274,114141,112184
T8 Airport and South Line,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,,,,,,,3,3,2,,2,,,5,1,,2,1,3,5
T8 Airport and South Line,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,8,16,23,12,25,34,22,36,48,34,41,37,48,64
T8 Airport and South Line,Employee,,,,,,,,,,,,,,,,,6906,34266,32601,33710,37488,33926,41087,37618,37089,38512,35176,39788,42010,35387,36982,39811,45208,41011
T8 Airport and South Line,Free Travel,,,,,,,,,,,,,,,,,649,3068,2992,3135,3481,3304,3701,3228,3327,3894,3531,4149,4113,3309,3507,3775,4068,3732
T8 Airport and South Line,School Student,,,,,,,,,,,,,,,,,15272,32471,5667,85743,92396,38204,101020,85302,44830,96955,83588,54886,90895,44266,6318,95017,103411,54541
T8 Airport and South Line,Senior/Pensioner,,,,,,,,,,,,,,,,,45746,245648,232330,227433,270519,239740,273977,257857,256350,264719,248517,272272,276162,249493,244054,250360,276404,258188
T8 Airport and South Line,Sgl Trip Rail Adult,,,,,,,,,,,,,,,,,23436,144438,116088,119174,137572,106326,114880,110934,98773,110146,109668,124188,132716,117999,98039,99747,115129,97332
T8 Airport and South Line,Sgl Trip Rail Child/Youth,,,,,,,,,,,,,,,,,2023,20666,19278,10595,12647,15238,10343,13090,15900,11459,10414,13334,10520,16356,17104,8764,9549,14382
T9 Northern Line,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176774
T9 Northern Line,Child/Youth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8387
T9 Northern Line,Concession,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17795
T9 Northern Line,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4103
T9 Northern Line,Employee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1956
T9 Northern Line,Free Travel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
T9 Northern Line,School Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6321
T9 Northern Line,Senior/Pensioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17867
T9 Northern Line,Sgl Trip Rail Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588
T9 Northern Line,Sgl Trip Rail Child/Youth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
